filepath,family_id,split
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_29.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_30.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_31.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_32.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_33.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_35.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_36.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_37.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_4.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_40.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_41.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_42.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_43.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_44.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_45.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_6.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_8.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_250_9.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_251_10.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_251_11.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_251_12.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_251_3.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_251_4.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_251_5.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_251_6.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_251_7.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_251_8.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_1_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_1_2.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_1_3.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_2_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_4_2.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_5_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_5_2.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_6_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_7_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_7_2.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_272_7_3.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_3_21.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_3_22.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_3_30.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_3_31.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_3_40.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_3_42.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_3_6.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_3_7.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_5_1_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_5_2_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_5_4_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_283_6_3_1.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_I_1860a_s0.xml,varia,test
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_187_188_4.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_187_188_5.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_187_188_6.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_187_188_7.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_208_25_1.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_208_26_1.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_208_27_2.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_208_57_2.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_208_75_2.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_119.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_123.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_163.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_172.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_182.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_198.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_201.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_202.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_218.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_222.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_236.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_242.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_248.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_86.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_87.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_89.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_90.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_91.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_93.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_216_97.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_1.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_10.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_11.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_12.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_127.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_13.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_132.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_14.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_15.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_156.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_16.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_17.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_18.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_19.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_2.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_20.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_21.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_22.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_23.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_24.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_25.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_3.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_33.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_4.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_5.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_55.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_56.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_59.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_6.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_60.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_66.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_7.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_8.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_89.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_9.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_90.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_96.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_217_98.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_218_14.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_218_27.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_218_36.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_218_39.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_218_45.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_218_98.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_219_69.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_220_172.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_220_28.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_220_30.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\20_Ms_220_89.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s100.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s101.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s102.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s103.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s104.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s105.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s106.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s107.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s108.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s109.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s110.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s111.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s112.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s113.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s114.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s115.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s116.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s117.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s118.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s119.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s120.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s121.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s122.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s123.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s124.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s125.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s126.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s127.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s128.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s129.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s130.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s131.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s132.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s133.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s134.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s135.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s136.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s137.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s138.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s139.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s140.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s141.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s142.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s143.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s144.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s145.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s146.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s147.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s148.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s149.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s150.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s151.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s152.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s153.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s154.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s155.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s156.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s157.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s158.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s159.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s160.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s161.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s162.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s163.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s164.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s165.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s166.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s167.xml,textil2,train
C:\Users\elena\Documents\WORK\USI\STIL PROJECT\ML\training_data\Stil_Bd.1_Aufl_II_1878d_s168.xml,textil2,train
